"","x"
"1","Normal weight"
"2","Obesity"
"3","Normal weight"
"4","Obesity"
"5","Obesity"
"6","Obesity"
"7","Normal weight"
"8","Normal weight"
"9","Normal weight"
"10","Normal weight"
"11","Normal weight"
"12","Obesity"
"13","Normal weight"
"14","Normal weight"
"15","Normal weight"
"16","Obesity"
"17","Obesity"
"18","Normal weight"
"19","Obesity"
"20","Normal weight"
"21","Obesity"
"22","Normal weight"
"23","Normal weight"
"24","Obesity"
"25","Obesity"
"26","Obesity"
"27","Obesity"
"28","Normal weight"
"29","Normal weight"
"30","Obesity"
"31","Normal weight"
"32","Normal weight"
"33","Obesity"
"34","Obesity"
"35","Normal weight"
"36","Obesity"
"37","Normal weight"
"38","Obesity"
"39","Normal weight"
"40","Normal weight"
"41","Obesity"
"42","Normal weight"
"43","Obesity"
"44","Obesity"
"45","Obesity"
"46","Normal weight"
"47","Obesity"
"48","Obesity"
"49","Obesity"
"50","Obesity"
"51","Obesity"
"52","Obesity"
"53","Obesity"
"54","Obesity"
"55","Normal weight"
"56","Obesity"
"57","Obesity"
"58","Obesity"
"59","Obesity"
"60","Obesity"
"61","Obesity"
"62","Normal weight"
"63","Normal weight"
"64","Obesity"
"65","Normal weight"
"66","Obesity"
"67","Obesity"
"68","Obesity"
"69","Obesity"
"70","Normal weight"
"71","Obesity"
"72","Obesity"
"73","Obesity"
"74","Normal weight"
"75","Normal weight"
"76","Normal weight"
"77","Normal weight"
"78","Normal weight"
"79","Normal weight"
"80","Obesity"
"81","Normal weight"
"82","Obesity"
"83","Obesity"
"84","Normal weight"
"85","Normal weight"
"86","Obesity"
"87","Normal weight"
"88","Normal weight"
"89","Normal weight"
"90","Normal weight"
"91","Normal weight"
"92","Obesity"
"93","Obesity"
"94","Obesity"
"95","Normal weight"
"96","Obesity"
"97","Obesity"
"98","Obesity"
"99","Normal weight"
"100","Normal weight"
"101","Obesity"
"102","Obesity"
"103","Normal weight"
"104","Obesity"
"105","Obesity"
"106","Normal weight"
"107","Normal weight"
"108","Obesity"
"109","Obesity"
"110","Normal weight"
"111","Obesity"
"112","Obesity"
"113","Normal weight"
"114","Normal weight"
"115","Obesity"
"116","Obesity"
"117","Obesity"
"118","Normal weight"
"119","Normal weight"
"120","Normal weight"
"121","Obesity"
"122","Normal weight"
"123","Obesity"
"124","Obesity"
"125","Normal weight"
"126","Normal weight"
"127","Obesity"
"128","Obesity"
"129","Normal weight"
"130","Normal weight"
"131","Obesity"
"132","Obesity"
"133","Obesity"
"134","Normal weight"
"135","Normal weight"
"136","Normal weight"
"137","Normal weight"
"138","Obesity"
"139","Normal weight"
"140","Normal weight"
"141","Normal weight"
"142","Normal weight"
"143","Normal weight"
"144","Normal weight"
"145","Normal weight"
"146","Obesity"
"147","Normal weight"
"148","Normal weight"
"149","Normal weight"
"150","Normal weight"
"151","Normal weight"
"152","Normal weight"
"153","Normal weight"
"154","Obesity"
"155","Normal weight"
"156","Normal weight"
"157","Normal weight"
"158","Normal weight"
"159","Normal weight"
"160","Obesity"
"161","Normal weight"
"162","Normal weight"
"163","Normal weight"
"164","Normal weight"
"165","Normal weight"
"166","Normal weight"
"167","Normal weight"
"168","Obesity"
"169","Normal weight"
"170","Obesity"
"171","Normal weight"
"172","Obesity"
"173","Obesity"
"174","Obesity"
"175","Normal weight"
"176","Normal weight"
"177","Obesity"
"178","Normal weight"
"179","Normal weight"
"180","Obesity"
"181","Obesity"
"182","Obesity"
"183","Normal weight"
"184","Obesity"
"185","Normal weight"
"186","Obesity"
"187","Normal weight"
"188","Normal weight"
"189","Obesity"
"190","Obesity"
"191","Normal weight"
"192","Obesity"
"193","Normal weight"
"194","Normal weight"
"195","Obesity"
"196","Normal weight"
"197","Normal weight"
"198","Obesity"
"199","Normal weight"
"200","Obesity"
"201","Normal weight"
"202","Normal weight"
"203","Obesity"
"204","Obesity"
"205","Obesity"
"206","Normal weight"
"207","Normal weight"
"208","Obesity"
"209","Normal weight"
"210","Obesity"
"211","Normal weight"
"212","Normal weight"
"213","Normal weight"
"214","Obesity"
"215","Normal weight"
"216","Obesity"
"217","Normal weight"
"218","Obesity"
"219","Obesity"
"220","Obesity"
"221","Normal weight"
"222","Obesity"
"223","Normal weight"
"224","Normal weight"
"225","Normal weight"
"226","Obesity"
"227","Normal weight"
"228","Obesity"
"229","Obesity"
"230","Normal weight"
"231","Obesity"
"232","Obesity"
"233","Normal weight"
"234","Obesity"
"235","Obesity"
"236","Normal weight"
"237","Normal weight"
"238","Normal weight"
"239","Normal weight"
"240","Obesity"
"241","Obesity"
"242","Normal weight"
"243","Normal weight"
"244","Obesity"
"245","Obesity"
"246","Obesity"
"247","Normal weight"
"248","Obesity"
"249","Normal weight"
"250","Obesity"
"251","Obesity"
"252","Normal weight"
"253","Normal weight"
"254","Normal weight"
"255","Obesity"
"256","Normal weight"
"257","Normal weight"
"258","Normal weight"
"259","Normal weight"
"260","Normal weight"
"261","Obesity"
"262","Obesity"
"263","Normal weight"
"264","Normal weight"
"265","Obesity"
"266","Obesity"
"267","Normal weight"
"268","Normal weight"
"269","Normal weight"
"270","Normal weight"
"271","Normal weight"
"272","Obesity"
"273","Obesity"
"274","Normal weight"
"275","Normal weight"
"276","Obesity"
"277","Normal weight"
"278","Obesity"
"279","Normal weight"
"280","Normal weight"
"281","Normal weight"
"282","Normal weight"
"283","Obesity"
"284","Normal weight"
"285","Normal weight"
"286","Normal weight"
"287","Normal weight"
"288","Normal weight"
"289","Normal weight"
"290","Obesity"
"291","Obesity"
"292","Obesity"
"293","Obesity"
"294","Obesity"
"295","Obesity"
"296","Normal weight"
"297","Obesity"
"298","Normal weight"
"299","Normal weight"
"300","Obesity"
"301","Obesity"
"302","Obesity"
"303","Obesity"
"304","Obesity"
"305","Normal weight"
"306","Obesity"
"307","Obesity"
"308","Obesity"
"309","Normal weight"
"310","Obesity"
"311","Obesity"
"312","Obesity"
"313","Normal weight"
"314","Normal weight"
"315","Normal weight"
"316","Normal weight"
"317","Obesity"
"318","Obesity"
"319","Obesity"
"320","Normal weight"
"321","Obesity"
"322","Normal weight"
