"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"Alanine","Alanine",0.00144437573046402,0.00241191558550974,0.54927289369631,0.784839798482852,0.105218982407862
"Arginine","Arginine",-0.0178029196293844,0.0109452988266403,0.103835738659773,0.288714005054003,0.539532148678516
"Asparagine","Asparagine",-0.065217604583855,0.0318838720680347,0.040808232584257,0.183838008156765,0.735564694112774
"Aspartate","Aspartate",-0.0801529511992095,0.0660675118734927,0.225054256308932,0.503062455278788,0.298378093872203
"Asymmetric_dimethylarginine","Asymmetric_dimethylarginine",0.167397153152698,1.96214309224852,0.932012216564587,0.97761444102721,0.00983239178635252
"Citrulline","Citrulline",-0.0452223269276435,0.0446090171499418,0.310702746077015,0.595078487997812,0.225425749134817
"Creatinine","Creatinine",-0.00231758933211039,0.0130686514274728,0.859241652493555,0.948958864289241,0.0227526130725965
"Dihydroxyphenylalanine","Dihydroxyphenylalanine",-2.33092333921347,2.24818246171988,0.29982746600056,0.582619280523815,0.234615147434838
"Glutamate","Glutamate",5.38955848431835e-05,0.00451222691053269,0.990470019923911,0.991981159572821,0.00349657620394851
"Glutamine","Glutamine",-0.000500141035390984,0.00203692417542552,0.806040364912275,0.931303394594589,0.0309088140417377
"Glycine","Glycine",-0.0123345633430332,0.00506491998614963,0.0148797423741233,0.137917309852225,0.860381222573078
"Histidine","Histidine",-0.0121123199793341,0.0186280561375776,0.515550632989128,0.75349707898411,0.122918426937328
"Kynurenine","Kynurenine",0.644237000928262,0.333967848894815,0.0537260223995734,0.201915380886309,0.694830597452466
"Leucine_Isoleucine","Leucine_Isoleucine",0.00244837480778914,0.00489660659844123,0.617064794577446,0.813537127396903,0.0896226223759652
"Lysine","Lysine",0.00430275003164291,0.00721194313170913,0.550764770865159,0.784839798482852,0.105218982407862
"Methionine","Methionine",-0.0896531915214781,0.0391333145093809,0.0219652345781715,0.137917309852225,0.860381222573078
"Methionine_sulfoxide","Methionine_sulfoxide",-2.36591669660629,0.918177687269645,0.00997333192667911,0.129208570869759,0.888708677068623
"Ornithine","Ornithine",-0.0116007990409542,0.0108612120960306,0.285477963909491,0.566467167345655,0.246825256945915
"Phenylalanine","Phenylalanine",0.0177007270872659,0.0212102282632745,0.403978265292844,0.674966591976591,0.170717722397534
"Proline","Proline",0.00302069220327671,0.00514554766151799,0.557170329143724,0.787406002343609,0.103801278935207
"Putrescine","Putrescine",-0.460292263321594,4.2218924866298,0.913182579677242,0.969901994564028,0.0132721475589142
